,negative,positive,total
decline,2,0,2
declined,1,0,1
declines,1,0,1
decorate,0,1,1
decorated,1,0,1
decreasing,1,0,1
dedicated,0,2,2
dedication,0,1,1
dee,0,1,1
deeds,1,0,1
deeeeb,0,1,1
deep,6,3,9
deeply,2,0,2
deer,0,1,1
deets,0,1,1
def,4,2,6
default,1,1,2
defeats,0,1,1
defense,0,2,2
defensive,1,0,1
deffffinitely,0,1,1
deficit,0,1,1
defied,0,1,1
definately,0,2,2
definatley,1,0,1
define,0,1,1
defined,1,0,1
definitely,10,18,28
definition,1,0,1
defo,1,1,2
deg,1,1,2
degrassi,3,1,4
degraw,0,1,1
degree,1,3,4
degrees,5,3,8
degress,0,1,1
deirdre,0,1,1
deiss,0,1,1
deki,1,0,1
del,3,0,3
delay,4,0,4
delayed,1,2,3
delegate,1,0,1
delegates,0,1,1
delemma,1,0,1
delete,3,0,3
deleted,1,1,2
delhi,2,0,2
deli,1,0,1
deliberately,0,1,1
delicious,0,3,3
deliciousness,1,0,1
delidelux,0,1,1
delight,0,1,1
delilah,1,0,1
delirious,0,1,1
delirous,0,1,1
deliver,3,0,3
delivered,0,2,2
delivery,3,2,5
dell,1,0,1
dem,1,0,1
demanding,0,1,1
demet,1,0,1
demi,2,4,6
demo,1,3,4
demogeek,1,0,1
demonstrations,0,1,1
denied,2,0,2
denims,1,0,1
denise,0,1,1
dennis,1,0,1
dense,0,2,2
density,0,1,1
dental,1,0,1
dentist,10,1,11
dentists,1,0,1
denver,1,0,1
denyhosts,0,1,1
dep,0,1,1
departure,1,0,1
depeche,1,0,1
depend,0,1,1
dependencies,0,1,1
depends,0,6,6
deposit,0,1,1
depot,1,0,1
depp,1,1,2
depressed,13,0,13
depressin,1,0,1
depressing,6,1,7
depression,1,0,1
deprivation,1,1,2
deprived,1,0,1
der,1,0,1
derailer,0,1,1
derby,0,1,1
deredactie,1,0,1
dermatologist,1,0,1
describe,1,0,1
description,1,0,1
descriptions,0,1,1
desert,0,1,1
deserted,2,0,2
deserve,2,5,7
deserved,0,1,1
design,2,8,10
designated,0,1,1
designer,0,1,1
designers,1,2,3
designing,0,3,3
desire,1,4,5
desired,0,1,1
desk,8,4,12
desktop,1,2,3
despairing,1,0,1
desperate,1,4,5
despite,1,0,1
dessert,1,0,1
destination,1,1,2
destined,1,0,1
destroyflickr,1,0,1
destroying,1,0,1
detail,1,0,1
details,4,3,7
detatched,0,1,1
detergent,0,1,1
determination,1,0,1
determine,0,1,1
determined,0,3,3
detox,0,1,1
detriment,0,1,1
detroit,1,0,1
dev,0,3,3
devastated,3,0,3
develop,1,1,2
developer,0,1,1
devestating,1,0,1
device,1,1,2
devices,1,1,2
devil,2,0,2
devils,0,1,1
devin,1,0,1
devotee,0,1,1
devunity,0,1,1
dexter,2,0,2
dfw,1,0,1
dgoody,0,1,1
dgs,1,0,1
dh,1,0,1
di,0,3,3
dia,0,1,1
diabetes,1,0,1
diagnosed,0,1,1
diajarin,0,1,1
diana,0,1,1
dianna,0,1,1
diapers,0,1,1
diaries,0,1,1
diary,1,2,3
dias,0,1,1
diaz,1,0,1
dice,1,0,1
diced,0,1,1
dick,3,1,4
dicks,1,0,1
dictionary,0,1,1
did,71,74,145
diddy,0,1,1
didier,0,1,1
didn,90,34,124
didnt,31,14,45
die,13,4,17
died,130,4,134
diego,1,3,4
dieing,1,0,1
dienstag,0,1,1
dies,20,0,20
diesel,0,2,2
diet,1,3,4
diff,1,0,1
difference,1,2,3
different,5,11,16
difficult,4,1,5
difficulties,1,0,1
difficulty,1,1,2
dig,0,2,2
digg,0,1,1
diggbar,0,1,1
digging,1,0,1
digit,1,0,1
digital,4,1,5
digitalhero,0,1,1
dii,1,0,1
diigo,0,1,1
dilariously,0,1,1
dilemma,0,1,1
dilemmas,1,0,1
dillema,1,0,1
dim,1,0,1
dimple,0,1,1
din,1,2,3
dind,1,0,1
ding,0,1,1
dinheiro,1,0,1
dinner,11,27,38
dinners,0,1,1
dinnertime,0,1,1
dint,1,0,1
dinz,0,1,1
dion,0,1,1
dip,0,2,2
direct,1,2,3
directed,0,2,2
directing,1,1,2
direction,0,1,1
directions,2,0,2
director,0,2,2
directory,0,1,1
dirty,1,4,5
dis,4,0,4
disability,1,1,2
disabled,1,0,1
disagree,0,1,1
disagreed,1,0,1
disamperin,0,1,1
disapointed,1,0,1
disappear,2,1,3
disappeared,2,1,3
disappointed,12,1,13
disbelief,1,0,1
disc,1,0,1
disciple,1,0,1
disciplinary,0,1,1
discipline,1,0,1
disclaimer,0,1,1
disco,0,1,1
disconnect,1,0,1
disconnecting,1,0,1
discontentment,0,1,1
discount,1,1,2
discourses,1,0,1
discovered,1,4,5
discovering,0,2,2
discovery,0,1,1
discriminatory,0,1,1
disease,5,1,6
dised,1,0,1
disgruntled,1,0,1
disgusting,2,0,2
disheartening,1,0,1
dishes,1,1,2
dishwashing,0,1,1
dislike,1,0,1
dismayed,1,0,1
dismissed,0,1,1
disney,2,6,8
disneyland,1,1,2
disnt,1,0,1
disorder,1,0,1
display,1,0,1
disruptive,0,1,1
diss,0,1,1
dissapeared,1,0,1
dissapointed,1,0,1
dissed,0,1,1
dissertation,0,1,1
distance,0,2,2
distill,0,1,1
distract,2,0,2
distracted,0,1,1
distraction,0,1,1
distress,1,0,1
disturbed,0,2,2
disturbing,0,1,1
disturbs,0,1,1
ditch,2,0,2
ditto,0,1,1
diva,0,1,1
dive,0,2,2
diversion,0,1,1
diverted,0,1,1
divided,1,0,1
divo,0,1,1
divorcing,1,0,1
divs,1,0,1
dixie,1,0,1
dixon,0,1,1
diy,0,1,1
dizzy,2,1,3
dj,0,1,1
dk,1,3,4
dling,1,0,1
dlr,0,1,1
dm,4,10,14
dms,1,3,4
dmv,1,0,1
dn,2,0,2
dnt,6,0,6
do,208,218,426
doc,4,2,6
dock,0,1,1
docs,0,1,1
doctor,12,6,18
doctors,7,4,11
document,1,0,1
documentary,2,1,3
documentatiemap,1,0,1
documents,0,1,1
dodgers,0,1,1
dodgiest,0,1,1
dodging,0,1,1
dodgy,1,0,1
doe,1,0,1
doens,1,0,1
does,32,31,63
doesn,48,21,69
doesnt,14,6,20
dog,14,16,30
doggies,0,2,2
doggone,1,0,1
doggy,2,0,2
dogkiller,0,1,1
dogon,1,0,1
dogpiled,1,0,1
dogs,5,6,11
dogtraders,0,1,1
dohnuts,1,0,1
doin,5,8,13
doing,53,59,112
doinggggg,0,1,1
dojo,1,0,1
dole,0,1,1
doll,3,3,6
dollah,0,1,1
dollar,4,1,5
dollars,2,0,2
domain,1,3,4
domestic,0,1,1
domesticated,0,2,2
domino,1,0,1
don,203,124,327
donate,2,1,3
donations,0,1,1
done,47,54,101
donfucious,0,1,1
dong,0,2,2
dongs,0,1,1
donk,0,1,1
donkey,1,0,1
donnie,1,4,5
dont,79,29,108
dontya,0,1,1
donuts,1,0,1
doo,1,1,2
dooce,0,1,1
doodles,0,1,1
dooley,0,1,1
doom,0,1,1
doomed,1,0,1
doomferret,0,1,1
doooo,2,1,3
door,3,3,6
doors,1,4,5
dope,0,1,1
doritos,0,1,1
dork,0,2,2
dorm,1,0,1
dorset,0,1,1
dos,0,1,1
dose,0,2,2
dosent,1,0,1
dosey,0,1,1
dossier,1,0,1
dot,1,0,1
dotclear,1,0,1
dots,0,1,1
dou,1,0,1
double,7,3,10
doubled,0,1,1
doubles,1,1,2
doubt,4,8,12
doubtful,1,0,1
douche,0,2,2
doug,2,0,2
dough,0,2,2
dougiamas,0,1,1
dougie,1,8,9
dov,0,1,1
down,67,40,107
downey,0,1,1
download,4,4,8
downloaded,0,7,7
downloading,3,5,8
downpour,1,0,1
downs,1,1,2
dowwwwn,0,1,1
dozen,0,1,1
dpt,0,1,1
dr,1,10,11
draag,1,0,1
draft,0,1,1
drag,1,4,5
dragged,1,0,1
dragging,1,1,2
dragonball,0,1,1
drain,1,0,1
drained,2,0,2
draining,1,0,1
drama,2,3,5
drank,1,1,2
drats,1,0,1
draw,2,2,4
drawing,3,1,4
dreadful,1,0,1
dreading,5,0,5
dreads,2,0,2
dream,22,12,34
dreamer,1,0,1
dreamhost,1,0,1
dreamin,1,1,2
dreaming,1,0,1
dreamland,0,1,1
dreams,8,20,28
dreamt,1,0,1
dreamweaver,1,1,2
dreamz,0,1,1
dreary,0,2,2
drenched,1,0,1
dreptate,0,1,1
dress,6,4,10
dressed,2,0,2
dressers,0,1,1
dresses,0,3,3
dressing,1,0,1
drew,2,2,4
driftered,0,1,1
drifting,1,0,1
drill,1,0,1
drink,11,7,18
drinking,9,10,19
drinks,3,2,5
drive,14,6,20
driver,2,1,3
drivers,0,1,1
drives,3,1,4
drivin,1,0,1
driving,11,8,19
drm,1,1,2
drooling,0,2,2
drop,3,6,9
dropbox,0,2,2
dropped,6,2,8
droppin,1,0,1
drops,2,0,2
drove,1,1,2
drowning,0,1,1
dru,1,0,1
drug,0,2,2
drugs,0,2,2
drum,0,1,1
drummer,3,0,3
drumoff,1,0,1
drums,2,0,2
drunk,2,9,11
drunken,1,1,2
drupal,1,0,1
dry,7,1,8
dryballs,1,0,1
dryer,2,0,2
ds,2,1,3
dselsdag,0,1,1
dsff,0,1,1
dsi,0,5,5
dt,0,1,1
dtds,1,0,1
dtwn,1,0,1
du,2,0,2
dub,0,1,1
dubai,1,1,2
dublin,0,2,2
dubz,0,1,1
duck,1,3,4
duckett,0,1,1
ducks,1,1,2
dude,8,19,27
dudes,2,3,5
due,4,6,10
duel,0,1,1
dues,1,0,1
duff,0,1,1
dui,0,1,1
dukes,1,0,1
dulce,1,0,1
dull,1,2,3
dulles,0,1,1
duluth,1,0,1
dum,0,2,2
dumb,4,4,8
dumbest,0,1,1
dumped,1,1,2
dumplings,0,1,1
dumps,2,0,2
dumpses,1,0,1
dun,4,3,7
duncan,0,2,2
dundee,1,0,1
dundrum,1,1,2
dune,0,1,1
dungeon,1,0,1
dunham,0,1,1
dunk,0,3,3
dunkin,1,0,1
dunkroos,0,1,1
dunno,8,6,14
dunt,1,0,1
duplex,0,1,1
during,5,6,11
dust,2,0,2
dustin,1,0,1
dutch,0,4,4
duty,1,0,1
duuuuuude,1,0,1
duuuuuuuude,1,0,1
duvet,1,0,1
dvd,4,8,12
dvr,1,3,4
dwanb,0,1,1
dwarf,0,3,3
dwindling,1,0,1
dxckinyamouth,0,1,1
dye,1,0,1
dyeing,0,1,1
dyi,1,0,1
dyiing,0,1,1
dying,7,1,8
dylan,0,1,1
eaaaarlay,1,0,1
each,6,4,10
eachother,1,0,1
eally,0,1,1
ear,4,2,6
eardrops,1,0,1
earings,1,0,1
earl,1,0,1
earlier,7,5,12
earliest,1,0,1
early,34,38,72
earned,1,2,3
earnest,0,1,1
earning,0,1,1
earrings,0,1,1
ears,0,2,2
earth,2,3,5
ease,1,0,1
easier,1,3,4
easily,3,3,6
east,3,1,4
easter,0,21,21
eastern,0,1,1
eastside,1,0,1
easy,3,14,17
eat,26,21,47
eaten,6,0,6
eatin,1,0,1
eating,18,14,32
eats,2,0,2
eb,1,0,1
ebay,1,3,4
ebg,0,1,1
ebtm,0,1,1
ec,1,1,2
econ,1,0,1
economic,1,0,1
economics,1,1,2
economy,3,0,3
ecosystem,0,1,1
ed,13,4,17
edc,1,0,1
eddy,0,1,1
eden,0,1,1
edge,1,2,3
edinburgh,1,1,2
edit,0,2,2
editable,1,0,1
editing,2,2,4
editor,1,0,1
edmcmahon,1,0,1
edmonton,1,0,1
education,0,1,1
educational,0,1,1
edward,2,1,3
edwards,1,0,1
ee,1,2,3
eedit,0,1,1
eee,0,2,2
eeee,0,1,1
eeeee,1,0,1
eeeeee,0,1,1
eeeeewwwwww,0,1,1
eeeek,1,0,1
eek,0,1,1
eenie,1,0,1
eep,1,0,1
eeshh,1,0,1
eff,4,0,4
effect,2,3,5
effects,1,1,2
efficient,1,0,1
effin,0,1,1
effing,3,1,4
effort,0,2,2
eg,2,1,3
egerton,0,1,1
egg,2,2,4
eggs,2,6,8
egrets,0,1,1
egypt,0,1,1
eh,4,9,13
ehh,0,1,1
ehhhh,1,0,1
ehon,0,1,1
eight,1,1,2
eightfive,0,1,1
einai,1,0,1
einen,0,1,1
eircom,1,0,1
eit,1,0,1
either,27,12,39
ek,0,2,2
ekkoh,0,1,1
el,1,1,2
elaborate,0,1,1
elan,0,1,1
elapsed,0,1,1
elderly,0,1,1
election,0,1,1
electric,4,2,6
electromagnets,0,1,1
electronics,1,0,1
element,1,0,1
eleonoraelitoday,0,1,1
elephant,2,0,2
eleven,0,1,1
elie,1,0,1
elisabeth,0,1,1
elise,1,0,1
elite,1,1,2
elizabeth,1,0,1
ell,1,0,1
ella,1,0,1
elle,1,0,1
ellen,1,4,5
elliott,1,1,2
elmar,0,1,1
elmo,1,0,1
else,18,12,30
elsewhere,1,0,1
elstree,0,1,1
elton,0,1,1
elum,1,0,1
elusive,1,0,1
elvis,0,1,1
em,7,14,21
email,22,14,36
emailed,0,1,1
emailing,1,0,1
emails,4,4,8
embarked,0,1,1
embarrassing,0,1,1
embarrassingly,1,0,1
embarressed,1,0,1
embarss,1,0,1
embassy,0,1,1
ember,0,1,1
embrace,0,1,1
emergency,1,0,1
emergents,0,1,1
emilie,0,1,1
emily,3,2,5
eminem,0,1,1
emjay,1,0,1
emma,1,1,2
emmanuel,0,1,1
emmerson,0,1,1
emmylou,0,1,1
emo,2,1,3
emoticon,0,1,1
emotion,1,0,1
emotional,1,1,2
emotions,1,1,2
empathize,1,0,1
emphasis,0,1,1
employee,1,2,3
employees,1,1,2
employes,1,0,1
empt,0,1,1
emptier,0,1,1
emptiness,2,0,2
empty,4,2,6
ems,0,1,1
emz,1,0,1
en,0,4,4
enabled,0,1,1
enabling,1,0,1
encantado,0,1,1
encouraged,1,0,1
encouragement,0,1,1
encryption,0,1,1
end,18,27,45
endcliffe,1,0,1
ended,3,3,6
ender,1,0,1
ending,6,1,7
endless,1,1,2
endorsement,0,1,1
ends,6,5,11
endure,0,1,1
enemy,1,0,1
energy,4,2,6
energyyyyyy,0,1,1
enforced,0,1,1
engagament,0,1,1
engagement,0,1,1
engaging,0,1,1
engine,1,0,1
engineer,1,0,1
engineering,0,1,1
engineers,0,1,1
england,1,6,7
english,9,8,17
enjoy,11,29,40
enjoyed,2,7,9
enjoyin,0,1,1
enjoying,8,17,25
enjoys,1,0,1
enlightened,0,2,2
enlightening,0,1,1
enlisted,0,1,1
enneagram,0,2,2
enough,22,20,42
enought,2,0,2
enquiry,0,1,1
enriching,0,1,1
enrollment,1,0,1
ensure,0,2,2
ent,1,0,1
enter,15,3,18
entering,1,0,1
enterprise,1,0,1
entertain,1,2,3
entertained,0,1,1
entertainers,0,1,1
entertaining,0,3,3
entertainment,1,1,2
entire,2,4,6
entirely,0,3,3
entourage,0,1,1
entrance,1,1,2
entrevista,1,0,1
entry,4,3,7
enuf,1,0,1
env,0,1,1
environtment,1,0,1
envy,2,0,2
eorld,1,0,1
eot,0,1,1
ep,1,3,4
epic,5,5,10
epiloges,1,0,1
episode,7,9,16
episodes,6,1,7
eps,1,1,2
equally,0,1,1
equals,1,1,2
equipment,0,1,1
er,2,4,6
era,1,2,3
erf,1,0,1
erggh,1,0,1
eric,2,0,2
erik,0,2,2
erin,1,1,2
erm,1,0,1
erotic,0,1,1
erpsx,0,1,1
err,0,1,1
errands,4,1,5
errani,1,0,1
erro,0,1,1
error,4,1,5
erroring,1,0,1
errors,1,1,2
errrr,0,1,1
errrrr,0,1,1
ers,1,0,1
es,2,0,2
escapades,0,1,1
escape,2,3,5
escaped,0,1,1
eshop,0,1,1
esma,0,2,2
esp,0,2,2
espanol,0,1,1
especially,6,8,14
esperanto,0,1,1
esplanade,1,0,1
espresso,0,2,2
essay,3,1,4
essays,0,1,1
essence,0,1,1
est,1,0,1
established,0,1,1
establishment,0,1,1
estate,0,1,1
esurance,0,1,1
etc,5,6,11
eternity,1,0,1
ethan,1,0,1
ethernet,1,0,1
ethics,0,1,1
ethiopian,0,1,1
ethiopians,1,0,1
ethnobotany,1,0,1
etymotic,0,1,1
etys,0,1,1
etz,1,0,1
eubanks,0,1,1
euh,0,1,1
europe,2,4,6
european,1,0,1
eurotrash,1,0,1
eva,1,1,2
evals,1,0,1
eve,1,4,5
even,74,41,115
evening,6,14,20
evensong,1,0,1
event,3,5,8
eventbox,0,1,1
eventhough,1,0,1
events,3,1,4
eventually,1,1,2
ever,35,30,65
everbody,0,1,1
everday,0,1,1
everlong,1,0,1
everrrr,1,0,1
every,33,28,61
everybdy,1,0,1
everybody,1,3,4
everyday,4,8,12
everyone,34,68,102
everyonee,0,1,1
everyones,2,1,3
everything,20,19,39
everythingggg,0,1,1
everythings,2,1,3
everythins,0,1,1
everytime,2,0,2
everywhere,4,3,7
eveything,0,1,1
eveytime,1,0,1
eviction,1,0,1
evidence,0,2,2
evie,0,1,1
evil,4,4,8
evilcreations,0,1,1
evo,1,1,2
evolution,0,2,2
evolutions,1,0,1
evp,0,1,1
evr,1,0,1
evry,1,0,1
evrywhere,1,0,1
evur,0,1,1
ew,4,0,4
ewood,1,0,1
eww,1,2,3
ewww,1,0,1
ewwwwwwwww,1,0,1
ex,1,4,5
exact,1,0,1
exactly,6,6,12
exalted,0,1,1
exam,7,6,13
examiner,0,1,1
example,1,5,6
examples,0,1,1
exams,4,1,5
exceeded,0,2,2
exceeding,0,1,1
exceedingly,1,0,1
excel,0,3,3
excellent,2,10,12
except,11,5,16
exceptional,0,1,1
excercise,1,0,1
exchange,1,1,2
exciited,0,1,1
excited,14,45,59
excitement,1,2,3
excitied,0,1,1
exciting,4,11,15
excitment,1,0,1
exclude,0,1,1
exctly,0,1,1
excuse,3,5,8
excuses,1,1,2
exec,1,0,1
execs,0,1,1
execute,0,1,1
executing,0,1,1
exegetical,0,1,1
exercise,1,2,3
exercising,2,0,2
exeter,0,1,1
exhausted,6,2,8
exhaustedd,1,0,1
exhausting,0,1,1
exhaustinggg,1,0,1
exhibition,1,0,1
exhilarating,0,1,1
exhuasted,1,0,1
exist,1,1,2
existance,0,1,1
existence,0,1,1
existing,1,1,2
exists,1,1,2
exitedd,0,1,1
exodus,1,0,1
exorcism,1,0,1
expanding,0,1,1
expect,1,3,4
expectation,0,1,1
expectations,1,2,3
expected,3,1,4
expecting,0,2,2
expenses,1,0,1
expensive,6,2,8
experience,4,5,9
experienced,0,1,1
experiment,0,2,2
expert,0,4,4
expertise,0,1,1
experts,0,1,1
expired,1,0,1
explain,2,0,2
explained,0,1,1
explaining,1,1,2
explains,0,1,1
expletives,0,1,1
explode,2,1,3
explore,0,1,1
explosions,1,0,1
expo,1,1,2
export,0,1,1
exporting,0,1,1
exposure,0,1,1
extend,0,1,1
extended,2,1,3
extension,0,1,1
extra,1,11,12
extranio,1,0,1
extraordinarily,0,1,1
extreamly,1,0,1
extreme,1,2,3
extremeee,0,1,1
extremely,3,3,6
eye,8,8,16
eyeball,1,0,1
eyeballs,1,0,1
eyebrow,0,1,1
eyedrops,0,1,1
eyelashes,0,1,1
eyes,11,10,21
eyeshadow,1,0,1
eyyy,0,1,1
faair,1,0,1
fab,0,3,3
fabric,1,0,1
fabulous,4,6,10
face,24,22,46
facebook,18,17,35
facebooking,0,2,2
faces,1,2,3
facesbyrozzj,0,1,1
facetime,0,1,1
facett,1,0,1
facineli,1,0,1
facing,2,0,2
fact,11,4,15
faction,1,1,2
factor,2,0,2
factory,2,1,3
fade,2,0,2
fades,0,1,1
fading,2,0,2
fail,15,6,21
faild,1,0,1
failed,12,1,13
failing,2,1,3
fails,0,1,1
failure,4,1,5
fainted,3,0,3
fair,6,5,11
faire,0,1,1
fairies,0,1,1
fairly,0,2,2
fairtrade,0,1,1
fairy,3,2,5
fairys,0,1,1
faith,1,3,4
faithful,0,1,1
faithfuls,1,0,1
faja,1,0,1
fake,3,1,4
faked,0,1,1
fakes,0,1,1
falafel,1,0,1
falke,0,1,1
fall,12,12,24
fallen,1,1,2
fallin,0,1,1
falling,7,3,10
fallout,0,1,1
falls,1,3,4
fam,2,2,4
fambam,0,1,1
fame,0,2,2
families,1,0,1
familty,1,0,1
family,46,17,63
familyyyyyyyyyyyy,0,1,1
famous,5,3,8
fan,10,6,16
fanatic,0,1,1
fanclub,0,1,1
fancy,1,1,2
fanfiction,0,1,1
fans,4,2,6
fantasiaq,1,0,1
fantastic,1,9,10
fantasy,1,3,4
fapping,0,1,1
far,28,18,46
farah,21,0,21
fareast,1,0,1
farewell,2,1,3
farfalla,1,0,1
farfallina,1,0,1
fariah,0,1,1
farm,1,2,3
farrah,485,0,485
farrahfawcett,1,0,1
farrahfawcettrip,1,0,1
farrahhhhhhhh,1,0,1
farraw,1,0,1
farringdon,1,0,1
fart,0,1,1
fascinating,0,1,1
fashion,1,0,1
fashioned,3,0,3
fast,18,17,35
faster,1,1,2
fat,15,2,17
fatal,1,1,2
fate,0,1,1
father,4,1,5
fathers,1,0,1
fats,1,0,1
fattening,1,0,1
fatter,1,0,1
fatty,1,0,1
faucet,4,0,4
faucett,6,0,6
fault,3,3,6
faux,1,0,1
fav,2,6,8
fave,1,1,2
favela,0,1,1
faves,0,3,3
favicon,1,0,1
favor,0,2,2
favorite,14,11,25
favorites,1,3,4
favors,1,0,1
favourite,3,5,8
favourites,0,1,1
favreau,0,2,2
favs,1,0,1
faw,1,0,1
fawcet,12,0,12
fawcett,348,0,348
fawcetts,1,0,1
fawecett,1,0,1
fawkes,1,0,1
fawset,1,0,1
faycett,1,0,1
fb,10,6,16
fbc,1,0,1
fck,1,0,1
fckin,1,0,1
fcp,0,1,1
fdw,0,1,1
feal,1,0,1
fear,1,2,3
feat,0,3,3
feather,4,0,4
feathered,2,0,2
feathers,1,0,1
featherstones,1,0,1
feature,1,4,5
featured,0,1,1
features,0,2,2
featuring,0,1,1
februar,1,0,1
february,0,1,1
feck,1,0,1
fed,3,2,5
fedexing,0,1,1
feds,3,0,3
feeble,1,0,1
feed,3,4,7
feedback,0,3,3
feeding,0,1,1
feeeeeling,1,0,1
feeel,0,1,1
feel,123,61,184
feelen,1,0,1
feelin,6,1,7
feeling,68,32,100
feelings,1,0,1
feelinqs,1,0,1
feels,18,12,30
fees,2,0,2
feet,8,5,13
feeters,0,1,1
feijoa,0,1,1
feling,0,1,1
felix,1,1,2
fell,8,3,11
fella,2,0,2
fellow,2,3,5
fellows,1,0,1
feloow,0,1,1
felt,9,8,17
felted,1,0,1
female,0,2,2
feminism,1,0,1
fence,3,0,3
fern,0,1,1
ferrah,1,0,1
ferrari,0,1,1
ferrera,0,1,1
fest,1,0,1
festival,0,3,3
festivals,1,0,1
festivities,1,0,1
fetch,0,1,1
fetching,1,0,1
fever,3,1,4
few,24,37,61
fewer,1,0,1
ff,2,2,4
ffs,0,1,1
fh,2,0,2
fi,1,0,1
fiances,0,1,1
fiasco,1,0,1
fiber,0,2,2
fic,1,1,2
fiction,0,2,2
fieber,0,1,1
field,1,1,2
fiend,1,0,1
fierce,1,0,1
fies,0,1,1
fifa,1,0,1
fifteen,1,0,1
figa,0,1,1
fight,10,8,18
fighter,2,0,2
fighters,0,1,1
fighting,7,2,9
figure,7,11,18
figured,6,4,10
figuring,0,3,3
fil,0,1,1
fildias,0,1,1
file,1,5,6
files,0,5,5
fileserver,0,1,1
filet,0,1,1
fill,2,2,4
filled,5,0,5
fillet,1,1,2
filling,2,0,2
film,2,7,9
filmed,0,1,1
filming,2,0,2
films,1,0,1
filter,1,0,1
filthy,1,0,1
final,5,6,11
finale,1,0,1
finalizing,0,1,1
finally,26,51,77
finals,0,2,2
finance,0,1,1
financial,1,0,1
finch,2,0,2
find,55,34,89
finding,4,4,8
fine,12,22,34
fines,1,0,1
finger,5,2,7
fingers,6,8,14
fingertips,0,1,1
fingures,1,0,1
finish,8,11,19
finished,17,22,39
finishedd,1,0,1
finishing,2,3,5
finnished,0,1,1
finshing,1,0,1
fire,1,4,5
fireable,1,0,1
firearms,0,1,1
firebug,0,1,1
fired,3,1,4
firefly,0,1,1
firefox,6,5,11
firehouse,1,0,1
fireplace,0,1,1
firewall,1,0,1
firewalls,1,0,1
fireworks,1,0,1
firies,0,1,1
firm,1,1,2
firmly,0,1,1
firmware,0,1,1
first,49,70,119
fish,2,8,10
fishing,1,0,1
fishy,0,1,1
fisl,1,0,1
fit,2,1,3
fitness,2,4,6
fitnessdk,0,1,1
five,4,4,8
fives,0,1,1
fix,14,6,20
fixable,1,0,1
fixed,9,2,11
fixing,0,1,1
fixoutlook,1,0,1
fkin,2,0,2
fkn,0,1,1
fl,2,1,3
fla,1,0,1
flacq,1,0,1
flagging,1,0,1
flags,3,0,3
flail,1,0,1
flames,0,1,1
flaminhg,1,0,1
flaring,1,0,1
flash,3,1,4
flashing,0,1,1
flat,4,2,6
flavor,1,3,4
flavored,0,1,1
flavors,1,0,1
flavoured,0,2,2
flawless,0,3,3
flea,0,1,1
fletcher,0,1,1
fleurs,1,0,1
flew,4,0,4
flick,0,1,1
flickr,2,4,6
flicks,0,1,1
flies,0,1,1
flight,11,6,17
flights,2,3,5
flik,0,1,1
flikr,0,3,3
flip,3,2,5
flipped,0,1,1
flippin,2,1,3
flips,1,0,1
flipside,0,1,1
floa,1,0,1
flock,0,1,1
flofficers,0,1,1
floods,1,0,1
floor,2,1,3
floors,1,0,1
flops,1,1,2
florentina,0,1,1
florida,5,1,6
florintina,1,0,1
flow,0,2,2
flower,1,3,4
flowers,0,1,1
flowing,2,0,2
flows,0,1,1
flr,0,1,1
flu,4,2,6
fluffy,0,1,1
fluid,2,1,3
flush,1,0,1
flutter,0,2,2
fly,4,4,8
flyer,0,1,1
flyers,0,1,1
flying,6,4,10
flynn,2,0,2
fm,0,3,3
fml,6,2,8
fmmfl,1,0,1
fmt,0,1,1
fmylife,1,0,1
fo,2,2,4
foam,3,1,4
fob,0,1,1
focus,0,5,5
focusing,0,1,1
foe,0,1,1
fogbugz,0,1,1
foggy,0,1,1
folders,1,0,1
folding,0,1,1
folks,1,4,5
follow,7,56,63
followed,2,6,8
follower,3,3,6
followers,8,25,33
followerss,0,1,1
following,8,16,24
followinq,0,1,1
follows,0,3,3
follwed,0,1,1
folowerssss,0,1,1
fomo,1,0,1
fond,1,0,1
fondle,1,0,1
fone,5,1,6
foneeee,1,0,1
font,0,2,2
fontana,0,1,1
food,28,16,44
foodd,0,1,1
foods,1,0,1
foodworks,0,1,1
fool,1,4,5
fooled,1,0,1
fools,1,0,1
foooooool,1,0,1
foot,10,2,12
footage,0,1,1
football,2,2,4
footbath,1,0,1
footlong,0,1,1
footy,0,3,3
for,595,803,1398
forced,2,1,3
forcefully,0,1,1
forces,1,1,2
forclosed,0,1,1
ford,1,1,2
forecast,2,1,3
forehead,2,0,2
foreign,0,1,1
forename,0,1,1
forensic,0,1,1
foreseen,0,1,1
forest,1,0,1
forever,14,7,21
forgave,1,0,1
forget,8,9,17
forgetful,0,1,1
forgetting,1,2,3
forgive,2,1,3
forgiven,1,3,4
forgot,23,9,32
forgotten,2,3,5
fork,1,0,1
forks,1,0,1
form,7,3,10
formal,1,4,5
formative,1,0,1
former,1,1,2
formerly,0,1,1
formula,0,1,1
formulaic,1,0,1
forqot,1,0,1
forreal,1,0,1
forrr,0,1,1
forsaken,1,0,1
forum,1,2,3
forums,2,0,2
forward,16,33,49
forwarding,0,1,1
fosse,0,1,1
foster,0,1,1
fought,4,0,4
found,37,29,66
founding,0,1,1
founnndddd,0,1,1
fountain,0,1,1
four,2,7,9
fourth,2,0,2
fow,1,0,1
fowa,0,1,1
fox,2,1,3
foxy,0,1,1
fps,0,1,1
fr,0,1,1
fracture,1,0,1
fragile,0,1,1
fragrance,0,1,1
frags,0,1,1
fraid,1,0,1
fran,0,1,1
francais,0,1,1
france,6,4,10
franchisee,0,1,1
